timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,close
1682153400,,,,,,,,27268.45
1682153460,27268.45,,,,,,,27271.16
1682153520,27271.16,,,,,,,27267.2
1682153580,27267.2,,,,,,,27269.19
1682153640,27269.19,,,,,,,27264.99
1682153700,27264.99,,,,,,,27239.37
1682153760,27239.37,,,,,,,27227.91
1682153820,27227.91,27250.966530612244,,,27245.448214285716,,,27206.82
1682153880,27206.82,27246.32416909621,,,27238.703660714287,,,27218.47
1682153940,27218.47,27242.797859225324,,,27234.437745535713,,,27221.64
1682154000,27221.64,27240.68816505028,,,27232.835809151784,,,27228.03
1682154060,27228.03,27239.678427185954,,,27233.031856863836,,,27233.62
1682154120,27233.62,27237.485794730816,,,27230.85639264788,,,27224.33
1682154180,27224.33,27236.354966912128,,,27230.53479448591,,,27229.57
1682154240,27229.57,27236.258543067535,,,27231.821095864434,,,27235.68
1682154300,27235.68,27236.403036915028,,,27233.183321898327,,,27237.27
1682154360,27237.27,27237.044031641453,,,27235.109991423746,,,27240.89
1682154420,27240.89,27238.44202712125,,,27238.03999356781,,,27246.83
1682154480,27246.83,27239.383166103926,,,27239.787495175857,,,27245.03
1682154540,27245.03,27239.579856660508,,,27240.03062138189,,,27240.76
1682154600,27240.76,27240.984162851866,,,27242.37546603642,,,27249.41
1682154660,27249.41,27242.523568158744,,,27244.721599527315,,,27251.76
1682154720,27251.76,27243.23448699321,,,27245.416199645486,,,27247.5
1682154780,27247.5,27243.218131708465,,,27244.84214973411,,,27243.12
1682154840,27243.12,27244.149827178684,,,27246.066612300583,,,27249.74
1682154900,27249.74,27245.515566153157,27242.804016000006,,27247.97745922544,27243.223476923085,,27253.71
1682154960,27253.71,27248.29477098842,27243.690655360002,,27252.22559441908,27244.896286390544,,27264.97
1682155020,27264.97,27251.20123227579,27244.688629145603,,27256.32919581431,27246.722725898962,,27268.64
1682155080,27268.64,27252.52677052211,27245.320283979778,,27257.36689686073,27247.78097775289,,27260.48
1682155140,27260.48,27254.028660447522,27246.02907262059,,27258.78517264555,27248.954748694974,,27263.04
1682155200,27263.04,27255.36028038359,27246.721909715765,,27259.92637948416,27250.062075718437,,27263.35
1682155260,27263.35,27255.547383185934,27247.119833327135,,27259.112284613122,27250.57037758625,,27256.67
1682155320,27256.67,27255.19489987366,27247.35823999405,,27257.604213459843,27250.763425464233,,27253.08
1682155380,27253.08,27255.475628463137,27247.750310394287,,27257.493160094884,27251.25546965929,,27257.16
1682155440,27257.16,27255.803395825544,27248.151097978516,,27257.562370071162,27251.756587377808,,27257.77
1682155500,27257.77,27255.23433927904,27248.297854059372,,27256.12677755337,27251.761465271822,,27251.82
1682155560,27251.82,27254.628005096318,27248.405539896994,,27254.842583165027,27251.702121789374,,27250.99
1682155620,27250.99,27253.32686151113,27248.290118301116,,27252.511937373773,27251.226573959422,,27245.52
1682155680,27245.52,27251.37588129525,27247.945313569075,,27249.30145303033,27250.33760673177,,27239.67
1682155740,27239.67,27249.745041110215,27247.625901026313,,27246.966089772744,27249.539329290863,,27239.96
1682155800,27239.96,27247.982892380183,27247.217264985262,,27244.57706732956,27248.606303960798,,27237.41
1682155860,27237.41,27246.091050611583,27246.718174385853,,27242.11780049717,27247.53966519458,,27234.74
1682155920,27234.74,27244.6851862385,27246.29944741042,,27240.650850372876,27246.671229410385,,27236.25
1682155980,27236.25,27243.51301677586,27245.906669514003,,27239.608137779654,27245.887288686507,,27236.48
1682156040,27236.48,27244.806871522167,27246.17320273344,,27242.848603334744,27246.401343402933,,27252.57
1682156100,27252.57,27246.577318447577,27246.614274624102,,27246.436452501057,27247.232009295018,,27257.2
1682156160,27257.2,27248.494844383637,27247.14970363914,,27249.82733937579,27248.214162426168,,27260
1682156220,27260,27250.049866614547,27247.638915493575,,27252.215504531843,27249.07307300877,,27259.38
1682156280,27259.38,27252.064171383896,27248.29935887383,,27255.199128398883,27250.232836623483,,27264.15
1682156340,27264.15,27253.599289757625,27248.879784518882,,27257.101846299163,27251.200310729368,,27262.81
1682156400,27262.81,27254.96367693511,27249.450593138128,27248.039575999996,27258.61388472437,27252.11951759634,27248.335858823528,27263.15
1682156460,27263.15,27255.674580230094,27249.8701694126,27248.277584479994,27258.94541354328,27252.721093165856,27248.790923183387,27259.94
1682156520,27259.94,27257.24678305437,27250.542562636096,27248.64563279039,27260.87906015746,27253.79485523002,27249.49245560757,27266.68
1682156580,27266.68,27259.92438547517,27251.56046013065,27249.192520134584,27264.656795118095,27255.502174058478,27250.531574995508,27275.99
1682156640,27275.99,27261.55090183586,27252.350441725426,27249.634869731894,27266.32009633857,27256.718160669363,27251.346415191765,27271.31
1682156700,27271.31,27263.02934443074,27253.13242405641,27250.080172337253,27267.71507225393,27257.885994464028,27252.152438125424,27271.9
1682156760,27271.9,27264.052295226345,27253.81472709415,27250.48236889051,27268.33380419045,27258.832456428332,27252.859793493055,27270.19
1682156820,27270.19,27265.237681622584,27254.556138010383,27250.919721512702,27269.33785314284,27259.872267472307,27253.624115316856,27272.35
1682156880,27272.35,27266.366584247928,27255.29949248997,27251.36412708245,27270.288389857127,27260.89286228213,27254.389444127963,27273.14
1682156940,27273.14,27266.86707221251,27255.88231279037,27251.7342445408,27270.183792392843,27261.58341133735,27254.996524750397,27269.87
1682157000,27269.87,27266.84177618215,27256.314620278754,27252.033359649984,27269.310344294634,27261.976225849863,27255.455092407243,27266.69
1682157060,27266.69,27266.661522441842,27256.685235467605,27252.30429245699,27268.377758220977,27262.25343924603,27255.852147606958,27265.58
1682157120,27265.58,27266.729876378726,27257.1034260489,27252.601006607845,27268.068318665733,27262.629328534797,27256.294808485116,27267.14
1682157180,27267.14,27266.18560832462,27257.336089006945,27252.807386475684,27266.7812389993,27262.651687878275,27256.554619917075,27262.92
1682157240,27262.92,27265.714807135384,27257.558245446668,27253.00903874617,27265.808429249475,27262.67001957995,27256.80306619484,27262.89
1682157300,27262.89,27264.06697754461,27257.423115628804,27253.032457971247,27262.901321937105,27262.016941150723,27256.70020085387,27254.18
1682157360,27254.18,27264.080266466808,27257.692591003655,27253.25500881182,27263.21599145283,27262.181791831434,27256.992741996855,27264.16
1682157420,27264.16,27262.637371257268,27257.54408736351,27253.26950863558,27260.906993589622,27261.550884767476,27256.87459525188,27253.98
1682157480,27253.98,27261.034889649083,27257.299123868972,27253.232518462868,27258.535245192215,27260.771585939205,27256.66068955573,27251.42
