timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,close
1682072340,,,,,,,,28150.07
1682072400,28150.07,,,,,,,28130.73
1682072460,28130.73,,,,,,,28128.62
1682072520,28128.62,,,,,,,28136.38
1682072580,28136.38,,,,,,,28131.24
1682072640,28131.24,,,,,,,28131.82
1682072700,28131.82,,,,,,,28130.89
1682072760,28130.89,28131.932857142856,,,28130.195,,,28118.03
1682072820,28118.03,28130.958163265306,,,28128.923749999998,,,28125.11
1682072880,28125.11,28129.38413994169,,,28126.6778125,,,28119.94
1682072940,28119.94,28127.42069137859,,,28123.918359375,,,28115.64
1682073000,28115.64,28123.37202118165,,,28117.708769531248,,,28099.08
1682073060,28099.08,28118.518875298556,,,28110.631577148437,,,28089.4
1682073120,28089.4,28114.01903597019,,,28104.72868286133,,,28087.02
1682073180,28087.02,28108.934887974447,,,28098.154012146,,,28078.43
1682073240,28078.43,28101.10418969238,,,28087.145509109498,,,28054.12
1682073300,28054.12,28093.026448307755,,,28076.499131832123,,,28044.56
1682073360,28044.56,28083.756955692363,,,28064.40934887409,,,28028.14
1682073420,28028.14,28078.17167630774,,,28059.47201165557,,,28044.66
1682073480,28044.66,28072.878579692344,,,28054.884008741676,,,28041.12
1682073540,28041.12,28067.447354022006,,,28049.878006556257,,,28034.86
1682073600,28034.86,28060.634874876007,,,28042.34850491719,,,28019.76
1682073660,28019.76,28055.442749893722,,,28037.833878687896,,,28024.29
1682073720,28024.29,28053.343785623187,,,28038.56290901592,,,28040.75
1682073780,28040.75,28052.990387677015,,,28041.63968176194,,,28050.87
1682073840,28050.87,28052.80318943744,28084.839552000012,,28044.149761321452,28083.564184615392,,28051.68
1682073900,28051.68,28053.23987666066,28083.68036992001,,28047.077320991088,28081.43309349113,,28055.86
1682073960,28055.86,28052.451322851994,28082.24195512321,,28047.237990743317,28078.839778607202,,28047.72
1682074020,28047.72,28050.816848158855,28080.592676918284,,28045.680993057485,28075.929795637418,,28041.01
1682074080,28041.01,28049.427298421877,28079.01256984155,,28044.533244793114,28073.24981135762,,28041.09
1682074140,28041.09,28048.15197007589,28077.47206704789,,28043.524933594836,28070.73059509934,,28040.5
1682074200,28040.5,28043.10026006505,28074.884784365975,,28035.841200196126,28066.273626245544,,28012.79
1682074260,28012.79,28039.853080055756,28072.704192991336,,28031.973400147093,28062.742578072808,,28020.37
1682074320,28020.37,28033.63121147636,28069.648025271683,,28023.05505011032,28057.631610528744,,27996.3
1682074380,27996.3,28029.658181265455,28067.09490426081,,28018.74628758274,28053.646102026534,,28005.82
1682074440,28005.82,28025.868441084673,28064.53630809038,,28014.84221568706,28049.76024802449,,28003.13
1682074500,28003.13,28022.012949501146,28061.910055766766,,28010.851661765293,28045.84638279184,,27998.88
1682074560,27998.88,28017.13967100098,28058.949653536096,,28005.113746323972,28041.388968730927,,27987.9
1682074620,27987.9,28009.846860857982,28055.23526739465,,27995.357809742978,28035.59674036701,,27966.09
1682074680,27966.09,28006.318737878268,28052.431856698866,,27992.805857307234,28031.716221877243,,27985.15
1682074740,27985.15,28005.57177532423,28050.37818243091,,27994.876892980425,28029.36035865592,,28001.09
1682074800,28001.09,28005.638664563627,28048.604655133677,,27997.667669735318,28027.566484913154,,28006.04
1682074860,28006.04,28004.49171248311,28046.56486892833,,27997.653252301487,28025.262139919832,,27997.61
1682074920,27997.61,28004.62432498552,28044.9190741712,,27999.594939226114,28023.735821464463,,28005.42
1682074980,28005.42,28004.94370713045,28043.396711204354,,28001.411204419586,28022.43768135181,,28006.86
1682075040,28006.86,28003.08032039753,28041.336842756184,,27999.033403314686,28020.08862894013,,27991.9
1682075100,27991.9,28002.47456034074,28039.636969045936,,27998.985052486016,28018.45411902166,,27998.84
1682075160,27998.84,28003.146766006346,28038.3386902841,,28001.033789364512,28017.586879096918,,28007.18
1682075220,28007.18,28002.522942291154,28036.75634267274,,28000.470342023385,28016.140196089462,,27998.78
1682075280,27998.78,27999.93252196385,28034.66168896583,,27996.45025651754,28013.69787331335,,27984.39
1682075340,27984.39,27997.337875969013,28032.546021407194,28046.830828000006,27992.780192388156,28011.241883058476,28045.555125490202,27981.77
1682075400,27981.77,27993.405322259154,28030.036580550906,28045.290411440008,27987.037644291115,28008.054815130898,28042.584728412156,27969.81
1682075460,27969.81,27989.707419079274,28027.53591732887,28043.735003211208,27982.158233218335,28004.936752428526,28039.64101357246,27967.52
1682075520,27967.52,27984.764930639376,28024.638880635714,28041.962503146984,27975.396174913752,28001.103925318635,28036.32607186374,27955.11
1682075580,27955.11,27979.584226262323,28021.593325410286,28040.093253084044,27968.672131185314,27997.057469524894,28032.881912182806,27948.5
1682075640,27948.5,27976.089336796278,28018.934392393872,28038.393788022368,27965.284098388984,27993.83151033067,28029.83242543054,27955.12
