timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,price
1681388820,,,,,,,,30216.29
1681388880,30216.29,,,,,,,30213.57
1681388940,30213.57,,,,,,,30214.46
1681389000,30214.46,,,,,,,30256.32
1681389060,30256.32,,,,,,,30237.66
1681389120,30237.66,,,,,,,30191.17
1681389180,30191.17,,,,,,,30186.23
1681389240,30186.23,30216.157346938777,,,30215.87892857143,,,30213.93
1681389300,30213.93,30216.230583090375,,,30216.076696428572,,,30216.67
1681389360,30216.67,30218.893356934605,,,30220.775022321428,,,30234.87
1681389420,30234.87,30219.508591658236,,,30221.38126674107,,,30223.2
1681389480,30223.2,30222.950221421346,,,30226.935950055806,,,30243.6
1681389540,30243.6,30223.397332646866,,,30226.721962541855,,,30226.08
1681389600,30226.08,30226.793427983026,,,30231.83397190639,,,30247.17
1681389660,30247.17,30229.484366842597,,,30235.282978929794,,,30245.63
1681389720,30245.63,30232.0066001508,,,30238.247234197344,,,30247.14
1681389780,30247.14,30231.774228700688,,,30236.28042564801,,,30230.38
1681389840,30230.38,30233.279338886303,,,30237.787819236008,,,30242.31
1681389900,30242.31,30237.34800475969,,,30243.780864427004,,,30261.76
1681389960,30261.76,30241.5025755083,,,30249.44314832025,,,30266.43
1681390020,30266.43,30245.302207578545,,,30254.10736124019,,,30268.1
1681390080,30268.1,30248.45332078161,,,30257.42052093014,,,30267.36
1681390140,30267.36,30251.311417812805,,,30260.180390697606,,,30268.46
1681390200,30268.46,30252.43978669669,,,30259.9377930232,,,30259.21
1681390260,30259.21,30253.352674311453,,,30259.6608447674,,,30258.83
1681390320,30258.83,30251.938006552675,30237.712271999997,,30255.608133575548,30237.932953846153,,30243.45
1681390380,30243.45,30250.296862759435,30237.821781119994,,30251.81860018166,30238.126572781068,,30240.45
1681390440,30240.45,30253.41588236523,30239.194109875192,,30256.896450136246,30240.74222102868,,30272.13
1681390500,30272.13,30259.74504202734,30241.535145480186,,30267.102337602184,30245.125127103394,,30297.72
1681390560,30297.72,30266.790036023438,30244.23613966098,,30277.59175320164,30250.043194249287,,30309.06
1681390620,30309.06,30274.16431659152,30247.203094074546,,30287.79631490123,30255.302179307033,,30318.41
1681390680,30318.41,30279.639414221303,30249.814570311562,,30293.96973617592,30259.70124243726,,30312.49
1681390740,30312.49,30282.983783618256,30251.943987499104,,30296.239802131942,30263.035762249776,,30303.05
