timestamp,-1min,-2min,-3min,-4min,-5min,-6min,-7min,-8min,-9min,-10min,-11min,-12min,-13min,-14min,-15min,-16min,-17min,-18min,-19min,-20min,-21min,-22min,-23min,-24min,-25min,-26min,-27min,-28min,-29min,-30min,-31min,-32min,-33min,-34min,-35min,-36min,-37min,-38min,-39min,-40min,-41min,-42min,-43min,-44min,-45min,-46min,-47min,-48min,-49min,-50min,MA7,MA25,MA50,price
1680842040,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,28061.802857142855,,,28067.05
1680842100,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,28063.191428571434,,,28063.62
1680842160,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,28064.238571428574,28043.928800000005,,28065.66
1680842220,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,28065.00142857143,28045.099200000004,,28064.94
1680842280,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,28065.64285714286,28046.2156,,28063.36
1680842340,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,28065.52142857143,28047.2704,,28064.75
1680842400,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,28065.284285714286,28048.3256,,28065.97
1680842460,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,28065.049999999996,28049.397599999997,,28069
1680842520,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,28065.32857142857,28050.696799999998,,28070.62
1680842580,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,28066.328571428574,28052.128800000002,,28071.2
1680842640,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,28067.120000000003,28053.7072,,28071.66
