timestamp,-1min,-2min,-3min,-4min,-5min,-6min,-7min,MA7,price
1680826080,28039.91,28037.51,28045.51,28044.67,28043.89,28045.32,28047.88,28043.527142857143,28039.84
1680826140,28039.84,28039.91,28037.51,28045.51,28044.67,28043.89,28045.32,28042.378571428573,28035.55
1680826200,28035.55,28039.84,28039.91,28037.51,28045.51,28044.67,28043.89,28040.98285714286,28038.93
1680826260,28038.93,28035.55,28039.84,28039.91,28037.51,28045.51,28044.67,28040.274285714284,28037.26
1680826320,28037.26,28038.93,28035.55,28039.84,28039.91,28037.51,28045.51,28039.215714285714,28035.32
1680826380,28035.32,28037.26,28038.93,28035.55,28039.84,28039.91,28037.51,28037.760000000006,28031.04
1680826440,28031.04,28035.32,28037.26,28038.93,28035.55,28039.84,28039.91,28036.83571428571,28030.93
1680826500,28030.93,28031.04,28035.32,28037.26,28038.93,28035.55,28039.84,28035.552857142855,28033
1680826560,28033,28030.93,28031.04,28035.32,28037.26,28038.93,28035.55,28034.575714285715,28024.41
1680826620,28024.41,28033,28030.93,28031.04,28035.32,28037.26,28038.93,28032.984285714287,28020.78
1680826680,28020.78,28024.41,28033,28030.93,28031.04,28035.32,28037.26,28030.39142857143,28018.91
1680826740,28018.91,28020.78,28024.41,28033,28030.93,28031.04,28035.32,28027.77,28011.68
1680826800,28011.68,28018.91,28020.78,28024.41,28033,28030.93,28031.04,28024.39285714286,28022.21
1680826860,28022.21,28011.68,28018.91,28020.78,28024.41,28033,28030.93,28023.131428571425,28035.09
1680826920,28035.09,28022.21,28011.68,28018.91,28020.78,28024.41,28033,28023.725714285716,28036.62
1680826980,28036.62,28035.09,28022.21,28011.68,28018.91,28020.78,28024.41,28024.242857142857,28038.33
1680827040,28038.33,28036.62,28035.09,28022.21,28011.68,28018.91,28020.78,28026.231428571427,28051.16
1680827100,28051.16,28038.33,28036.62,28035.09,28022.21,28011.68,28018.91,28030.571428571428,28055.73
1680827160,28055.73,28051.16,28038.33,28036.62,28035.09,28022.21,28011.68,28035.831428571426,28057.7
1680827220,28057.7,28055.73,28051.16,28038.33,28036.62,28035.09,28022.21,28042.405714285713,28057.55
1680827280,28057.55,28057.7,28055.73,28051.16,28038.33,28036.62,28035.09,28047.454285714284,28059.61
1680827340,28059.61,28057.55,28057.7,28055.73,28051.16,28038.33,28036.62,28050.957142857143,28041.73
1680827400,28041.73,28059.61,28057.55,28057.7,28055.73,28051.16,28038.33,28051.687142857143,28038.21
1680827460,28038.21,28041.73,28059.61,28057.55,28057.7,28055.73,28051.16,28051.670000000006,28054.76
1680827520,28054.76,28038.21,28041.73,28059.61,28057.55,28057.7,28055.73,28052.184285714287,28058.7
1680827580,28058.7,28054.76,28038.21,28041.73,28059.61,28057.55,28057.7,28052.608571428573,28058.51
1680827640,28058.51,28058.7,28054.76,28038.21,28041.73,28059.61,28057.55,28052.72428571429,28058.76
1680827700,28058.76,28058.51,28058.7,28054.76,28038.21,28041.73,28059.61,28052.897142857146,28060.69
1680827760,28060.69,28058.76,28058.51,28058.7,28054.76,28038.21,28041.73,28053.051428571427,28060.32
1680827820,28060.32,28060.69,28058.76,28058.51,28058.7,28054.76,28038.21,28055.70714285714,28073.02
1680827880,28073.02,28060.32,28060.69,28058.76,28058.51,28058.7,28054.76,28060.68,28060.6
1680827940,28060.6,28073.02,28060.32,28060.69,28058.76,28058.51,28058.7,28061.51428571429,28076.31
1680828000,28076.31,28060.6,28073.02,28060.32,28060.69,28058.76,28058.51,28064.030000000002,28065.52
1680828060,28065.52,28076.31,28060.6,28073.02,28060.32,28060.69,28058.76,28065.03142857143,28062.15
1680828120,28062.15,28065.52,28076.31,28060.6,28073.02,28060.32,28060.69,28065.515714285713,28062.55
1680828180,28062.55,28062.15,28065.52,28076.31,28060.6,28073.02,28060.32,28065.78142857143,28061.4
1680828240,28061.4,28062.55,28062.15,28065.52,28076.31,28060.6,28073.02,28065.935714285715,28060.91
1680828300,28060.91,28061.4,28062.55,28062.15,28065.52,28076.31,28060.6,28064.205714285716,28059.91
1680828360,28059.91,28060.91,28061.4,28062.55,28062.15,28065.52,28076.31,28064.10714285714,28068.77
1680828420,28068.77,28059.91,28060.91,28061.4,28062.55,28062.15,28065.52,28063.029999999995,28080.77
1680828480,28080.77,28068.77,28059.91,28060.91,28061.4,28062.55,28062.15,28065.20857142857,28090.6
1680828540,28090.6,28080.77,28068.77,28059.91,28060.91,28061.4,28062.55,28069.272857142852,28098.33
1680828600,28098.33,28090.6,28080.77,28068.77,28059.91,28060.91,28061.4,28074.384285714284,28093.28
1680828660,28093.28,28098.33,28090.6,28080.77,28068.77,28059.91,28060.91,28078.93857142857,28092.88
1680828720,28092.88,28093.28,28098.33,28090.6,28080.77,28068.77,28059.91,28083.50571428571,28104.35
1680828780,28104.35,28092.88,28093.28,28098.33,28090.6,28080.77,28068.77,28089.854285714282,28105.02
1680828840,28105.02,28104.35,28092.88,28093.28,28098.33,28090.6,28080.77,28095.032857142854,28107.04
1680828900,28107.04,28105.02,28104.35,28092.88,28093.28,28098.33,28090.6,28098.785714285717,28107.48
1680828960,28107.48,28107.04,28105.02,28104.35,28092.88,28093.28,28098.33,28101.197142857145,28106.94
1680829020,28106.94,28107.48,28107.04,28105.02,28104.35,28092.88,28093.28,28102.42714285714,28107.03
1680829080,28107.03,28106.94,28107.48,28107.04,28105.02,28104.35,28092.88,28104.391428571427,28107.52
1680829140,28107.52,28107.03,28106.94,28107.48,28107.04,28105.02,28104.35,28106.48285714286,28108.45
1680829200,28108.45,28107.52,28107.03,28106.94,28107.48,28107.04,28105.02,28107.068571428572,28109.29
1680829260,28109.29,28108.45,28107.52,28107.03,28106.94,28107.48,28107.04,28107.678571428576,28089.29
1680829320,28089.29,28109.29,28108.45,28107.52,28107.03,28106.94,28107.48,28105.142857142862,28083.78
1680829380,28083.78,28089.29,28109.29,28108.45,28107.52,28107.03,28106.94,28101.757142857143,28081.96
1680829440,28081.96,28083.78,28089.29,28109.29,28108.45,28107.52,28107.03,28098.18857142857,28092.46
1680829500,28092.46,28081.96,28083.78,28089.29,28109.29,28108.45,28107.52,28096.10714285714,28092.65
1680829560,28092.65,28092.46,28081.96,28083.78,28089.29,28109.29,28108.45,28093.982857142862,28089.56
1680829620,28089.56,28092.65,28092.46,28081.96,28083.78,28089.29,28109.29,28091.28428571429,28082.02
1680829680,28082.02,28089.56,28092.65,28092.46,28081.96,28083.78,28089.29,28087.38857142857,28080.86
1680829740,28080.86,28082.02,28089.56,28092.65,28092.46,28081.96,28083.78,28086.184285714284,28085.99
1680829800,28085.99,28080.86,28082.02,28089.56,28092.65,28092.46,28081.96,28086.5,28081.38
1680829860,28081.38,28085.99,28080.86,28082.02,28089.56,28092.65,28092.46,28086.417142857146,28084.59
1680829920,28084.59,28081.38,28085.99,28080.86,28082.02,28089.56,28092.65,28085.292857142857,28081.95
1680829980,28081.95,28084.59,28081.38,28085.99,28080.86,28082.02,28089.56,28083.764285714286,28082.42
1680830040,28082.42,28081.95,28084.59,28081.38,28085.99,28080.86,28082.02,28082.744285714285,28083.21
1680830100,28083.21,28082.42,28081.95,28084.59,28081.38,28085.99,28080.86,28082.91428571428,28083.63
1680830160,28083.63,28083.21,28082.42,28081.95,28084.59,28081.38,28085.99,28083.309999999998,28083.29
1680830220,28083.29,28083.63,28083.21,28082.42,28081.95,28084.59,28081.38,28082.924285714285,28070.09
1680830280,28070.09,28083.29,28083.63,28083.21,28082.42,28081.95,28084.59,28081.311428571433,28067.11
1680830340,28067.11,28070.09,28083.29,28083.63,28083.21,28082.42,28081.95,28078.81428571429,28053.3
1680830400,28053.3,28067.11,28070.09,28083.29,28083.63,28083.21,28082.42,28074.721428571425,28064.85
1680830460,28064.85,28053.3,28067.11,28070.09,28083.29,28083.63,28083.21,28072.211428571427,28075.42
1680830520,28075.42,28064.85,28053.3,28067.11,28070.09,28083.29,28083.63,28071.09857142857,28072.72
1680830580,28072.72,28075.42,28064.85,28053.3,28067.11,28070.09,28083.29,28069.54,28074.08
1680830640,28074.08,28072.72,28075.42,28064.85,28053.3,28067.11,28070.09,28068.22428571428,28082.94
1680830700,28082.94,28074.08,28072.72,28075.42,28064.85,28053.3,28067.11,28070.059999999998,28070.55
1680830760,28070.55,28082.94,28074.08,28072.72,28075.42,28064.85,28053.3,28070.55142857143,28072.12
1680830820,28072.12,28070.55,28082.94,28074.08,28072.72,28075.42,28064.85,28073.24,28071.62
1680830880,28071.62,28072.12,28070.55,28082.94,28074.08,28072.72,28075.42,28074.207142857143,28066.48
1680830940,28066.48,28071.62,28072.12,28070.55,28082.94,28074.08,28072.72,28072.929999999997,28069.31
1680831000,28069.31,28066.48,28071.62,28072.12,28070.55,28082.94,28074.08,28072.442857142854,28068.39
1680831060,28068.39,28069.31,28066.48,28071.62,28072.12,28070.55,28082.94,28071.629999999997,28068.99
1680831120,28068.99,28068.39,28069.31,28066.48,28071.62,28072.12,28070.55,28069.63714285714,28080.87
1680831180,28080.87,28068.99,28068.39,28069.31,28066.48,28071.62,28072.12,28071.11142857143,28081.14
1680831240,28081.14,28080.87,28068.99,28068.39,28069.31,28066.48,28071.62,28072.4,28079.42
1680831300,28079.42,28081.14,28080.87,28068.99,28068.39,28069.31,28066.48,28073.514285714286,28080.94
1680831360,28080.94,28079.42,28081.14,28080.87,28068.99,28068.39,28069.31,28075.579999999998,28083.16
1680831420,28083.16,28080.94,28079.42,28081.14,28080.87,28068.99,28068.39,28077.558571428566,28078.07
1680831480,28078.07,28083.16,28080.94,28079.42,28081.14,28080.87,28068.99,28078.941428571423,28071.27
1680831540,28071.27,28078.07,28083.16,28080.94,28079.42,28081.14,28080.87,28079.26714285714,28071.61
1680831600,28071.61,28071.27,28078.07,28083.16,28080.94,28079.42,28081.14,28077.944285714293,28074.17
1680831660,28074.17,28071.61,28071.27,28078.07,28083.16,28080.94,28079.42,28076.948571428573,28075.68
1680831720,28075.68,28074.17,28071.61,28071.27,28078.07,28083.16,28080.94,28076.414285714283,28080.07
1680831780,28080.07,28075.68,28074.17,28071.61,28071.27,28078.07,28083.16,28076.29,28078.88
1680831840,28078.88,28080.07,28075.68,28074.17,28071.61,28071.27,28078.07,28075.678571428572,28094.9
1680831900,28094.9,28078.88,28080.07,28075.68,28074.17,28071.61,28071.27,28078.082857142854,28093.08
1680831960,28093.08,28094.9,28078.88,28080.07,28075.68,28074.17,28071.61,28081.198571428566,28085.83
1680832020,28085.83,28093.08,28094.9,28078.88,28080.07,28075.68,28074.17,28083.23,28080.85
1680832080,28080.85,28085.83,28093.08,28094.9,28078.88,28080.07,28075.68,28084.184285714287,28082.04
1680832140,28082.04,28080.85,28085.83,28093.08,28094.9,28078.88,28080.07,28085.09285714286,28081.96
1680832200,28081.96,28082.04,28080.85,28085.83,28093.08,28094.9,28078.88,28085.36285714286,28081.82
1680832260,28081.82,28081.96,28082.04,28080.85,28085.83,28093.08,28094.9,28085.782857142858,28078.14
1680832320,28078.14,28081.82,28081.96,28082.04,28080.85,28085.83,28093.08,28083.388571428575,28080.31
1680832380,28080.31,28078.14,28081.82,28081.96,28082.04,28080.85,28085.83,28081.56428571429,28081.1
1680832440,28081.1,28080.31,28078.14,28081.82,28081.96,28082.04,28080.85,28080.88857142857,28077.85
1680832500,28077.85,28081.1,28080.31,28078.14,28081.82,28081.96,28082.04,28080.46,28077.13
1680832560,28077.13,28077.85,28081.1,28080.31,28078.14,28081.82,28081.96,28079.758571428567,28068.32
1680832620,28068.32,28077.13,28077.85,28081.1,28080.31,28078.14,28081.82,28077.809999999998,28070.64
1680832680,28070.64,28068.32,28077.13,28077.85,28081.1,28080.31,28078.14,28076.212857142855,28072.6
1680832740,28072.6,28070.64,28068.32,28077.13,28077.85,28081.1,28080.31,28075.42142857143,28069.34
1680832800,28069.34,28072.6,28070.64,28068.32,28077.13,28077.85,28081.1,28073.854285714286,28069.12
1680832860,28069.12,28069.34,28072.6,28070.64,28068.32,28077.13,28077.85,28072.14285714286,28070.85
1680832920,28070.85,28069.12,28069.34,28072.6,28070.64,28068.32,28077.13,28071.14285714286,28071.19
1680832980,28071.19,28070.85,28069.12,28069.34,28072.6,28070.64,28068.32,28070.294285714284,28069.64
1680833040,28069.64,28071.19,28070.85,28069.12,28069.34,28072.6,28070.64,28070.48285714286,28069.95
1680833100,28069.95,28069.64,28071.19,28070.85,28069.12,28069.34,28072.6,28070.384285714284,28070.85
1680833160,28070.85,28069.95,28069.64,28071.19,28070.85,28069.12,28069.34,28070.134285714284,28062.9
1680833220,28062.9,28070.85,28069.95,28069.64,28071.19,28070.85,28069.12,28069.214285714286,28059.67
1680833280,28059.67,28062.9,28070.85,28069.95,28069.64,28071.19,28070.85,28067.864285714288,28062.21
1680833340,28062.21,28059.67,28062.9,28070.85,28069.95,28069.64,28071.19,28066.630000000005,28064.09
1680833400,28064.09,28062.21,28059.67,28062.9,28070.85,28069.95,28069.64,28065.615714285716,28069.62
1680833460,28069.62,28064.09,28062.21,28059.67,28062.9,28070.85,28069.95,28065.61285714286,28068.58
1680833520,28068.58,28069.62,28064.09,28062.21,28059.67,28062.9,28070.85,28065.41714285714,28070.73
1680833580,28070.73,28068.58,28069.62,28064.09,28062.21,28059.67,28062.9,28065.399999999994,28075.39
1680833640,28075.39,28070.73,28068.58,28069.62,28064.09,28062.21,28059.67,28067.184285714284,28073.21
1680833700,28073.21,28075.39,28070.73,28068.58,28069.62,28064.09,28062.21,28069.11857142857,28075.9
1680833760,28075.9,28073.21,28075.39,28070.73,28068.58,28069.62,28064.09,28071.074285714283,28082.74
1680833820,28082.74,28075.9,28073.21,28075.39,28070.73,28068.58,28069.62,28073.73857142857,28081.88
1680833880,28081.88,28082.74,28075.9,28073.21,28075.39,28070.73,28068.58,28075.489999999998,28072.14
1680833940,28072.14,28081.88,28082.74,28075.9,28073.21,28075.39,28070.73,28075.998571428576,28056.89
1680834000,28056.89,28072.14,28081.88,28082.74,28075.9,28073.21,28075.39,28074.021428571432,28051.09
1680834060,28051.09,28056.89,28072.14,28081.88,28082.74,28075.9,28073.21,28070.549999999996,28047.36
1680834120,28047.36,28051.09,28056.89,28072.14,28081.88,28082.74,28075.9,28066.857142857138,28045.96
1680834180,28045.96,28047.36,28051.09,28056.89,28072.14,28081.88,28082.74,28062.579999999998,28042.5
1680834240,28042.5,28045.96,28047.36,28051.09,28056.89,28072.14,28081.88,28056.83142857143,28028.13
1680834300,28028.13,28042.5,28045.96,28047.36,28051.09,28056.89,28072.14,28049.152857142857,28032.8
1680834360,28032.8,28028.13,28042.5,28045.96,28047.36,28051.09,28056.89,28043.532857142854,28032.43
1680834420,28032.43,28032.8,28028.13,28042.5,28045.96,28047.36,28051.09,28040.03857142857,28031.46
1680834480,28031.46,28032.43,28032.8,28028.13,28042.5,28045.96,28047.36,28037.234285714287,28028.35
1680834540,28028.35,28031.46,28032.43,28032.8,28028.13,28042.5,28045.96,28034.51857142857,28025.73
1680834600,28025.73,28028.35,28031.46,28032.43,28032.8,28028.13,28042.5,28031.62857142857,28026.44
1680834660,28026.44,28025.73,28028.35,28031.46,28032.43,28032.8,28028.13,28029.33428571428,27990.06
1680834720,27990.06,28026.44,28025.73,28028.35,28031.46,28032.43,28032.8,28023.895714285707,27974.27
1680834780,27974.27,27990.06,28026.44,28025.73,28028.35,28031.46,28032.43,28015.534285714286,27950.68
1680834840,27950.68,27974.27,27990.06,28026.44,28025.73,28028.35,28031.46,28003.855714285713,27947.33
1680834900,27947.33,27950.68,27974.27,27990.06,28026.44,28025.73,28028.35,27991.837142857144,27959.45
1680834960,27959.45,27947.33,27950.68,27974.27,27990.06,28026.44,28025.73,27981.99428571429,27966.55
1680835020,27966.55,27959.45,27947.33,27950.68,27974.27,27990.06,28026.44,27973.54,27969.5
1680835080,27969.5,27966.55,27959.45,27947.33,27950.68,27974.27,27990.06,27965.405714285713,27975.73
1680835140,27975.73,27969.5,27966.55,27959.45,27947.33,27950.68,27974.27,27963.35857142857,27974.07
1680835200,27974.07,27975.73,27969.5,27966.55,27959.45,27947.33,27950.68,27963.329999999998,27973.97
1680835260,27973.97,27974.07,27975.73,27969.5,27966.55,27959.45,27947.33,27966.657142857148,27975.39
1680835320,27975.39,27973.97,27974.07,27975.73,27969.5,27966.55,27959.45,27970.66571428571,27977.05
1680835380,27977.05,27975.39,27973.97,27974.07,27975.73,27969.5,27966.55,27973.18,27997.24
1680835440,27997.24,27977.05,27975.39,27973.97,27974.07,27975.73,27969.5,27977.56428571429,28000.41
