"DateTime","USDT","Price"
"2021-04-18 00:00:00",-0.040986271648943,56589.22
"2021-04-19 00:00:00",-0.05627762054295301,55940.86
"2021-04-20 00:00:00",-0.01624039944935442,55265.39
"2021-04-21 00:00:00",-0.02096728262473907,55221.38
"2021-04-22 00:00:00",-0.10180382053631402,52989.2
"2021-04-23 00:00:00",0.13093193126525443,49804
"2021-04-24 00:00:00",0.1660444210376807,49996.67
"2021-04-25 00:00:00",0.09405807431306751,48824.74
"2021-04-26 00:00:00",0.20787819879701536,51616.56
"2021-04-27 00:00:00",0.21851284957738232,54424.27
"2021-04-28 00:00:00",0.20572462185630716,55174.09
"2021-04-29 00:00:00",0.19736306878325602,53808.33
"2021-04-30 00:00:00",0.21338415973323777,55537.13
"2021-05-01 00:00:00",0.21294920320810898,57778.03
"2021-05-02 00:00:00",0.20571842955805536,57013.77
"2021-05-03 00:00:00",0.13436560233737824,57747.72
"2021-05-04 00:00:00",0.10044240109093487,55167.43
"2021-05-05 00:00:00",0.12191171911240674,55461.5
"2021-05-06 00:00:00",0.11498600121820546,56846.08
"2021-05-07 00:00:00",0.11261177139827412,57003.23
"2021-05-08 00:00:00",0.07763836350847977,58253.57
"2021-05-09 00:00:00",0.07177092039312007,57813.99
"2021-05-10 00:00:00",0.07101931262665157,56913.1
"2021-05-11 00:00:00",0.07291817922963705,55709.38
"2021-05-12 00:00:00",-0.02000596336311562,53594.17
"2021-05-13 00:00:00",-0.03125705312739779,49203.86
"2021-05-14 00:00:00",0.006591186072018747,50232.36
"2021-05-15 00:00:00",-0.13678248569358795,48658.12
"2021-05-16 00:00:00",-0.19000154728439358,46863.76
"2021-05-17 00:00:00",-0.2885197604781062,44398.01
"2021-05-18 00:00:00",-0.29902254260108413,44064.38
"2021-05-19 00:00:00",-0.26345287784371313,36744.77
"2021-05-20 00:00:00",-0.11696253684364209,38764.64
"2021-05-21 00:00:00",-0.22207190099086033,37902.44
"2021-05-22 00:00:00",-0.2493362973696205,37064.82
"2021-05-23 00:00:00",-0.19946711286515661,34730.87
"2021-05-24 00:00:00",-0.009696845203840383,37206.34
"2021-05-25 00:00:00",0.0478857257078501,38175.99
"2021-05-26 00:00:00",0.08794873905854443,39355.31
"2021-05-27 00:00:00",0.06888372815828117,38810.39
"2021-05-28 00:00:00",-0.0196067877745838,36806.68
"2021-05-29 00:00:00",-0.08959169291471311,35486.58
"2021-05-30 00:00:00",-0.03862672540552452,34941.14
"2021-05-31 00:00:00",0.02950751523415036,35857.83
"2021-06-01 00:00:00",0.009985271976362604,36821.85
"2021-06-02 00:00:00",0.08804385053581315,37080.26
"2021-06-03 00:00:00",0.059132995903633676,38341.19
"2021-06-04 00:00:00",0.08801106015954331,37445.26
"2021-06-05 00:00:00",0.05243944516457261,36378.96
"2021-06-06 00:00:00",0.051523313105084456,35859.07
"2021-06-07 00:00:00",0.11086139973747494,35078.76
"2021-06-08 00:00:00",0.15599992094436055,32547.72
"2021-06-09 00:00:00",0.19532050080313226,34981.8
"2021-06-10 00:00:00",0.3297411559108413,37104.13
"2021-06-11 00:00:00",0.214136976522845,36823.85
"2021-06-12 00:00:00",0.16806380784114336,36050.27
"2021-06-13 00:00:00",0.29372627755097913,37088.46
"2021-06-14 00:00:00",0.12640843137591715,39890.6
"2021-06-15 00:00:00",0.10355274877469164,40416.88
"2021-06-16 00:00:00",0.062256903350521975,39305.01
"2021-06-17 00:00:00",0.028837193304879088,38461.99
"2021-06-18 00:00:00",0.02383227980692084,36680.06
"2021-06-19 00:00:00",0.05090294456806998,35653.21
"2021-06-20 00:00:00",0.04605547429891287,34758.88
"2021-06-21 00:00:00",-0.06761248836704821,33522.66
"2021-06-22 00:00:00",0.017442929619210366,31110.47
"2021-06-23 00:00:00",0.05586073198477207,33310.98
"2021-06-24 00:00:00",0.11959544272134195,33804.03
"2021-06-25 00:00:00",0.08998427649607856,33392.38
"2021-06-26 00:00:00",0.12399716276435849,31435.74
"2021-06-27 00:00:00",0.1375553942175954,33392.82
"2021-06-28 00:00:00",0.1459631824381974,34591.71
"2021-06-29 00:00:00",0.14132923396635103,35434.29
"2021-06-30 00:00:00",0.157963107409214,35076.21
"2021-07-01 00:00:00",0.1417333117156595,33911.37
"2021-07-02 00:00:00",0.1582870721868437,33341.82
"2021-07-03 00:00:00",0.20908934139047927,34138.98
"2021-07-04 00:00:00",0.2021298720397516,35168.16
"2021-07-05 00:00:00",0.17838435074943207,34221.16
"2021-07-06 00:00:00",0.1738378266032008,34327.7
"2021-07-07 00:00:00",0.1757106532121007,34437.12
"2021-07-08 00:00:00",0.08985529462279947,33021.49
"2021-07-09 00:00:00",0.10578862561794616,33175.4
"2021-07-10 00:00:00",0.08902321525000778,33641.83
"2021-07-11 00:00:00",0.10908967031592809,33965.55
"2021-07-12 00:00:00",0.08666546271653891,33659.42
"2021-07-13 00:00:00",0.16572007595010999,32770.84
"2021-07-14 00:00:00",0.2655340034578121,32350.6
"2021-07-15 00:00:00",0.2716614869171628,32161.15
"2021-07-16 00:00:00",0.18443401091485873,31651.54
"2021-07-17 00:00:00",0.16581626963680685,31580.21
"2021-07-18 00:00:00",0.09222634306414662,31788.92
"2021-07-19 00:00:00",0.04873483200000464,31197.14
"2021-07-20 00:00:00",0.04232570941612723,30191.99
"2021-07-21 00:00:00",0.08942662589418883,31164
"2021-07-22 00:00:00",-0.008091476886442255,32171.44
"2021-07-23 00:00:00",0.0034657689567855494,32825.28
"2021-07-24 00:00:00",0.009476962099560863,33974.42
