"DateTime","Number of Large Transactions","Price"
"2023-01-17 00:00:00",13867,21210.8
"2023-01-18 00:00:00",13413,21018.14
"2023-01-19 00:00:00",13431,20925.71
"2023-01-20 00:00:00",14252,21804.57
"2023-01-21 00:00:00",13225,22896.48
"2023-01-22 00:00:00",10784,22707.68
"2023-01-23 00:00:00",13370,22870.17
"2023-01-24 00:00:00",13076,22822.31
"2023-01-25 00:00:00",13227,23077.82
"2023-01-26 00:00:00",13108,23069.21
"2023-01-27 00:00:00",13992,23039.8
"2023-01-28 00:00:00",10828,23038.64
"2023-01-29 00:00:00",11190,23464.73
"2023-01-30 00:00:00",13377,23186.82
"2023-01-31 00:00:00",14831,22998.28
"2023-02-01 00:00:00",14293,23296.12
"2023-02-02 00:00:00",14787,23826.11
"2023-02-03 00:00:00",13665,23470.34
"2023-02-04 00:00:00",13203,23425.53
"2023-02-05 00:00:00",10589,23113.33
"2023-02-06 00:00:00",13302,22901.72
"2023-02-07 00:00:00",14245,23047.95
"2023-02-08 00:00:00",14800,23048.12
"2023-02-09 00:00:00",13920,22370.92
"2023-02-10 00:00:00",14853,21717.7
"2023-02-11 00:00:00",11095,21754.37
"2023-02-12 00:00:00",10893,21870.55
"2023-02-13 00:00:00",13650,21651.34
"2023-02-14 00:00:00",14216,21947.99
"2023-02-15 00:00:00",16757,23199.22
"2023-02-16 00:00:00",17244,24377.9
"2023-02-17 00:00:00",15095,24190.65
"2023-02-18 00:00:00",13486,24654.63
"2023-02-19 00:00:00",11039,24714.21
"2023-02-20 00:00:00",13109,24486
"2023-02-21 00:00:00",14529,24692.48
"2023-02-22 00:00:00",14249,24034.78
"2023-02-23 00:00:00",13900,24112.19
"2023-02-24 00:00:00",13985,23478.12
"2023-02-25 00:00:00",10308,23013.57
"2023-02-26 00:00:00",10163,23371
"2023-02-27 00:00:00",13154,23510.47
"2023-02-28 00:00:00",13903,23317.81
"2023-03-01 00:00:00",15491,23500.01
"2023-03-02 00:00:00",14551,23500.53
"2023-03-03 00:00:00",17123,22812.19
"2023-03-04 00:00:00",11631,22295.11
"2023-03-05 00:00:00",10943,22436.46
"2023-03-06 00:00:00",14359,22450.41
"2023-03-07 00:00:00",14848,22253.14
"2023-03-08 00:00:00",13854,21952.72
"2023-03-09 00:00:00",14136,20970.86
"2023-03-10 00:00:00",15596,19984.17
"2023-03-11 00:00:00",17025,20373.23
"2023-03-12 00:00:00",12195,21331.8
"2023-03-13 00:00:00",18470,23236.54
"2023-03-14 00:00:00",21002,25295.89
"2023-03-15 00:00:00",18090,24600.16
"2023-03-16 00:00:00",16299,24715.83
"2023-03-17 00:00:00",18950,26364.92
"2023-03-18 00:00:00",15029,27202.52
"2023-03-19 00:00:00",14205,27675.04
"2023-03-20 00:00:00",18732,27882.11
"2023-03-21 00:00:00",20413,27954.85
"2023-03-22 00:00:00",17884,27779.41
"2023-03-23 00:00:00",17166,27999.38
"2023-03-24 00:00:00",15951,27732.48
"2023-03-25 00:00:00",13100,27499.65
"2023-03-26 00:00:00",11737,27830.04
"2023-03-27 00:00:00",15218,27304.95
"2023-03-28 00:00:00",16227,27080.82
"2023-03-29 00:00:00",17353,27951.37
"2023-03-30 00:00:00",15886,28452.27
"2023-03-31 00:00:00",15458,28095.85
"2023-04-01 00:00:00",13146,28538.19
"2023-04-02 00:00:00",11641,28209.66
"2023-04-03 00:00:00",15528,27892.45
"2023-04-04 00:00:00",18485,28056.04
"2023-04-05 00:00:00",16890,28311.35
"2023-04-06 00:00:00",17071,27958.5
"2023-04-07 00:00:00",13216,27950.86
"2023-04-08 00:00:00",11225,28014.91
"2023-04-09 00:00:00",10449,28180.06
"2023-04-10 00:00:00",14567,28980.39
"2023-04-11 00:00:00",22671,30082.98
"2023-04-12 00:00:00",16893,30102.43
"2023-04-13 00:00:00",16598,30236.13
"2023-04-14 00:00:00",17425,30520.7
"2023-04-15 00:00:00",13661,30425.8
