"DateTime","Positive","Neutral","Negative","Price"
"2019-10-26 00:00:00",2927,16084,1148,9517.66
"2019-10-27 00:00:00",1855,10356,458,9460
"2019-10-28 00:00:00",1842,11437,545,9568.099999999999
"2019-10-29 00:00:00",1966,10945,431,9332.235
"2019-10-30 00:00:00",1769,10066,421,9230.05
"2019-10-31 00:00:00",2027,10432,400,9197.58
"2019-11-01 00:00:00",1696,9255,468,9190.62
"2019-11-02 00:00:00",1411,7882,321,9311.95
"2019-11-03 00:00:00",1451,8026,363,9252.16
"2019-11-04 00:00:00",1665,9894,437,9359.869999999999
"2019-11-05 00:00:00",1747,9610,424,9346
"2019-11-06 00:00:00",1759,9395,375,9362.675
"2019-11-07 00:00:00",1893,9139,410,9248.384999999998
"2019-11-08 00:00:00",1801,10795,657,8973.285
"2019-11-09 00:00:00",1896,8894,347,8806.85
"2019-11-10 00:00:00",1744,11003,370,8947.46
"2019-11-11 00:00:00",1984,12538,421,8852.135
"2019-11-12 00:00:00",1776,12575,444,8722.470000000001
"2019-11-13 00:00:00",1688,11119,423,8781.005000000001
"2019-11-14 00:00:00",1721,9876,454,8697.98
"2019-11-15 00:00:00",1680,10244,559,8583.345000000001
"2019-11-16 00:00:00",1384,8440,323,8490.725
"2019-11-17 00:00:00",1517,8327,343,8526.21
"2019-11-18 00:00:00",1813,10681,592,8306.75
"2019-11-19 00:00:00",1937,10591,714,8116.245000000001
"2019-11-20 00:00:00",3015,10097,482,8139.98
"2019-11-21 00:00:00",3029,12745,684,7785.53
"2019-11-22 00:00:00",2947,14946,995,7268.465
"2019-11-23 00:00:00",2608,10331,482,7243.795
"2019-11-24 00:00:00",2348,9473,502,7126.74
"2019-11-25 00:00:00",3243,14848,960,6973.095
"2019-11-26 00:00:00",2542,12623,606,7196.469999999999
"2019-11-27 00:00:00",2375,13017,677,7277.305
"2019-11-28 00:00:00",2035,10382,631,7526.12
"2019-11-29 00:00:00",1954,11212,483,7648.83
"2019-11-30 00:00:00",1681,10421,459,7654.055
"2019-12-01 00:00:00",1724,10411,547,7418.725
"2019-12-02 00:00:00",1820,11261,587,7317.855
"2019-12-03 00:00:00",1805,10925,574,7340.635
"2019-12-04 00:00:00",2197,12354,901,7437.72
"2019-12-05 00:00:00",1957,10930,656,7334.405000000001
"2019-12-06 00:00:00",1592,9614,505,7465.825
"2019-12-07 00:00:00",1039,6979,308,7571.805
"2019-12-08 00:00:00",1003,6592,427,7504.655000000001
"2019-12-09 00:00:00",1201,8012,470,7481.73
"2019-12-10 00:00:00",1229,8631,540,7290.030000000001
"2019-12-11 00:00:00",1083,9251,517,7225.9349999999995
"2019-12-12 00:00:00",1051,8524,499,7206.655000000001
"2019-12-13 00:00:00",1265,7544,317,7253.735000000001
"2019-12-14 00:00:00",1105,6725,580,7158.46
"2019-12-15 00:00:00",1068,7088,464,7117.65
"2019-12-16 00:00:00",1163,9117,561,7020.825
"2019-12-17 00:00:00",1444,10984,737,6766.79
"2019-12-18 00:00:00",1411,12719,557,6946.475
"2019-12-19 00:00:00",1146,8820,386,7217.32
"2019-12-20 00:00:00",1138,7697,427,7164.31
"2019-12-21 00:00:00",1009,6628,338,7173.34
"2019-12-22 00:00:00",990,7635,292,7335.285
"2019-12-23 00:00:00",1107,8548,342,7484.965
"2019-12-24 00:00:00",1110,6778,372,7302.46
"2019-12-25 00:00:00",1042,5407,387,7206.41
"2019-12-26 00:00:00",940,6181,342,7304.825
"2019-12-27 00:00:00",988,6879,306,7164.535
"2019-12-28 00:00:00",1234,6619,411,7310.85
"2019-12-29 00:00:00",995,6892,387,7417.99
"2019-12-30 00:00:00",1220,7298,368,7319.43
"2019-12-31 00:00:00",1402,7015,422,7233.59
"2020-01-01 00:00:00",1414,6501,325,7219.49
"2020-01-02 00:00:00",1226,8179,353,7085.335
"2020-01-03 00:00:00",1437,9404,509,7144.865
"2020-01-04 00:00:00",1155,7767,329,7342.175
"2020-01-05 00:00:00",1153,7464,359,7415.745
"2020-01-06 00:00:00",1230,8945,577,7577.37
"2020-01-07 00:00:00",1359,10339,560,7977.599999999999
"2020-01-08 00:00:00",1605,10497,671,8166.3099999999995
"2020-01-09 00:00:00",1204,8883,538,7902.075
"2020-01-10 00:00:00",1249,9054,471,7937.305
"2020-01-11 00:00:00",1186,8656,456,8145.645
"2020-01-12 00:00:00",986,7584,384,8076.77
"2020-01-13 00:00:00",1203,8676,362,8128.885
"2020-01-14 00:00:00",1986,14287,677,8490.235
"2020-01-15 00:00:00",1754,12501,624,8724.985
"2020-01-16 00:00:00",1278,10417,517,8716.67
"2020-01-17 00:00:00",1402,10889,378,8835.17
"2020-01-18 00:00:00",1035,9160,352,8890.955
"2020-01-19 00:00:00",1492,10933,567,8842.77
"2020-01-20 00:00:00",1285,9582,474,8629.44
"2020-01-21 00:00:00",1215,8554,481,8625.825
"2020-01-22 00:00:00",1094,8420,392,8688.085
"2020-01-23 00:00:00",1113,9334,582,8485.955
"2020-01-24 00:00:00",714,6012,370,8371.665
"2020-01-25 00:00:00",209,1417,64,8353.869999999999
"2020-01-26 00:00:00",186,1433,45,8453.95
